Datetime,City,Latitude,Longitude,Temperature,Humidity %,Cloud Coverage %,Wind Speed
12/09/2017,Cabo San Lucas,22.89,-109.91,64.4,48,5,14.99
12/09/2017,Kapaa,22.08,-159.32,70.21,100,90,5.82
12/09/2017,Ampanihy,-24.7,44.75,79.23,63,56,9.01
12/09/2017,Jiwani,25.05,61.74,67.98,67,0,8.9
12/09/2017,Musoma,-1.5,33.8,73.4,83,40,4.88
12/09/2017,Tasiilaq,65.61,-37.64,27.34,100,92,17.85
12/09/2017,Ust-Nera,64.57,143.2,-40.34,79,24,1.86
12/09/2017,Iroquois Falls,48.77,-80.68,5.0,71,90,3.36
12/09/2017,Araouane,18.9,-3.53,51.33,48,0,10.92
12/09/2017,Balikpapan,-1.27,116.83,86.0,79,20,3.36
12/09/2017,Valparaiso,-33.04,-71.63,50.0,93,0,3.04
12/09/2017,Hasaki,35.73,140.83,48.88,37,20,6.55
12/09/2017,Tura,25.52,90.22,72.39,83,12,2.86
12/09/2017,Frontera,18.58,-92.65,66.2,100,75,8.05
12/09/2017,Sayville,40.74,-73.08,35.82,51,90,6.62
12/09/2017,Cidreira,-30.18,-50.21,62.08,95,0,7.29
12/09/2017,Jaciara,-15.97,-54.97,73.78,93,20,2.75
12/09/2017,Ambilobe,-13.2,49.05,87.64,46,8,9.35
12/09/2017,Dudinka,69.41,86.18,9.61,77,80,19.15
12/09/2017,Sal Rei,16.18,-22.92,75.58,96,0,15.46
12/09/2017,Ilulissat,69.22,-51.1,37.4,47,92,18.34
12/09/2017,Sakhnovshchyna,49.15,35.87,33.33,97,88,7.85
12/09/2017,Lasa,46.62,10.7,24.22,79,20,5.82
12/09/2017,Matagami,49.75,-77.63,1.4,84,40,5.82
12/09/2017,Mount Gambier,-37.83,140.77,65.46,72,76,7.11
12/09/2017,Storebo,60.09,5.23,39.63,100,88,25.86
12/09/2017,Dingle,11.0,122.67,81.88,100,24,3.98
12/09/2017,Lazo,43.38,133.9,15.73,60,24,2.48
12/09/2017,Hambantota,6.12,81.12,79.99,100,24,2.04
