,timestamp,source,tweets ago,tweet text,compound score,positive score,negative score,neutral score
35,Sat Jan 20 12:34:10 +0000 2018,@BBCworld,35,Winter Olympics 2018: North Korea will send 22 athletes to Pyeongchang https://t.co/YdmSfiH46g,0.0,0.0,0.0,1.0
36,Sat Jan 20 12:08:33 +0000 2018,@BBCworld,36,RT @BBCOS: You might have seen Cindy Garcia and her family in a viral video. After living in the US for 30 years Cindy's husband Jorge was…,0.0,0.0,0.0,1.0
37,Sat Jan 20 12:03:24 +0000 2018,@BBCworld,37,Syria conflict: 15 refugees found frozen to death https://t.co/OdunaDREzJ,-0.7351,0.0,0.47,0.53
38,Sat Jan 20 11:22:42 +0000 2018,@BBCworld,38,Pad Man: A man's 'period poverty' rescue becomes a film https://t.co/QgJEtrdtTh,0.0,0.243,0.243,0.515
39,Sat Jan 20 11:18:01 +0000 2018,@BBCworld,39,"What is Trumpism?

https://t.co/Ks53fkoyoW",0.0,0.0,0.0,1.0
40,Sat Jan 20 10:49:46 +0000 2018,@BBCworld,40,Turkey bus crash: Eleven killed in motorway accident https://t.co/34TTJzTVGD,-0.8834,0.0,0.632,0.368
41,Sat Jan 20 10:25:55 +0000 2018,@BBCworld,41,The Silent Child: The deaf six-year-old actress hoping for an Oscar https://t.co/QsV9RpEI5C,0.4215,0.203,0.0,0.797
42,Sat Jan 20 09:52:39 +0000 2018,@BBCworld,42,"RT @bbctennis: Kerber! 👏

She knocks Maria Sharapova out of the #AusOpen with a 6-1, 6-3 win!

🎾📻https://t.co/3kH48yOnmR #bbctennis https:/…",0.658,0.205,0.0,0.795
43,Sat Jan 20 09:05:16 +0000 2018,@BBCworld,43,Asian wildlife trafficking 'kingpin' Boonchai Bach arrested https://t.co/VzAOSaie6m,-0.4767,0.0,0.307,0.693
44,Sat Jan 20 08:40:03 +0000 2018,@BBCworld,44,US government begins shutting down many of its services after Senate fails to agree on new budget… https://t.co/iFNARt8uyK,-0.0772,0.117,0.131,0.751
